tiempo,entrada
0,1.4548
0.1,1.4548
0.2,1.4548
0.3,1.4548
0.4,1.4548
0.5,1.4548
0.6,1.4548
0.7,1.4548
0.8,1.4548
0.9,1.4548
1,1.4548
1.1,1.4548
1.2,1.4548
1.3,1.4548
1.4,1.4548
1.5,1.4548
1.6,1.4548
1.7,1.4548
1.8,1.4548
1.9,1.4548
2,1.4548
2.1,1.4548
2.2,1.4548
2.3,1.4548
2.4,1.4548
2.5,1.4548
2.6,1.4548
2.7,1.4548
2.8,1.4548
2.9,1.4548
3,1.4548
3.1,1.4548
3.2,1.4548
3.3,1.4548
3.4,1.4548
3.5,1.4548
3.6,1.4548
3.7,1.4548
3.8,1.4548
3.9,1.4548
4,1.4548
4.1,1.4548
4.2,1.4548
4.3,1.4548
4.4,1.4548
4.5,1.4548
4.6,1.4548
4.7,1.4548
4.8,1.4548
4.9,1.4548
5,1.4548
5.1,1.4548
5.2,1.4548
5.3,1.4548
5.4,1.4548
5.5,1.4548
5.6,1.4548
5.7,1.4548
5.8,1.4548
5.9,1.4548
6,1.4548
6.1,1.4548
6.2,1.4548
6.3,1.4548
6.4,1.4548
6.5,1.4548
6.6,1.4548
6.7,1.4548
6.8,1.4548
6.9,1.4548
7,1.4548
7.1,1.4548
7.2,1.4548
7.3,1.4548
7.4,1.4548
7.5,1.4548
7.6,1.4548
7.7,1.4548
7.8,1.4548
7.9,1.4548
8,1.4548
8.1,1.4548
8.2,1.4548
8.3,1.4548
8.4,1.4548
8.5,1.4548
8.6,1.4548
8.7,1.4548
8.8,1.4548
8.9,1.4548
9,1.4548
9.1,1.4548
9.2,1.4548
9.3,1.4548
9.4,1.4548
9.5,1.4548
9.6,1.4548
9.7,1.4548
9.8,1.4548
9.9,1.4548
10,1.4548
10.1,1.4548
10.2,1.4548
10.3,1.4548
10.4,1.4548
10.5,1.4548
10.6,1.4548
10.7,1.4548
10.8,1.4548
10.9,1.4548
11,1.4548
11.1,1.4548
11.2,1.4548
11.3,1.4548
11.4,1.4548
11.5,1.4548
11.6,1.4548
11.7,1.4548
11.8,1.4548
11.9,1.4548
12,1.4548
12.1,1.4548
12.2,1.4548
12.3,1.4548
12.4,1.4548
12.5,1.4548
12.6,1.4548
12.7,1.4548
12.8,1.4548
12.9,1.4548
13,1.4548
13.1,1.4548
13.2,1.4548
13.3,1.4548
13.4,1.4548
13.5,1.4548
13.6,1.4548
13.7,1.4548
13.8,1.4548
13.9,1.4548
14,1.4548
14.1,1.4548
14.2,1.4548
14.3,1.4548
14.4,1.4548
14.5,1.4548
14.6,1.4548
14.7,1.4548
14.8,1.4548
14.9,1.4548
15,1.7763
15.1,1.7763
15.2,1.7763
15.3,1.7763
15.4,1.7763
15.5,1.7763
15.6,1.7763
15.7,1.7763
15.8,1.7763
15.9,1.7763
16,1.7763
16.1,1.7763
16.2,1.7763
16.3,1.7763
16.4,1.7763
16.5,1.7763
16.6,1.7763
16.7,1.7763
16.8,1.7763
16.9,1.7763
17,1.7763
17.1,1.7763
17.2,1.7763
17.3,1.7763
17.4,1.7763
17.5,1.7763
17.6,1.7763
17.7,1.7763
17.8,1.7763
17.9,1.7763
18,1.7763
18.1,1.7763
18.2,1.7763
18.3,1.7763
18.4,1.7763
18.5,1.7763
18.6,1.7763
18.7,1.7763
18.8,1.7763
18.9,1.7763
19,1.7763
19.1,1.7763
19.2,1.7763
19.3,1.7763
19.4,1.7763
19.5,1.7763
19.6,1.7763
19.7,1.7763
19.8,1.7763
19.9,1.7763
20,1.7763
20.1,1.7763
20.2,1.7763
20.3,1.7763
20.4,1.7763
20.5,1.7763
20.6,1.7763
20.7,1.7763
20.8,1.7763
20.9,1.7763
21,1.7763
21.1,1.7763
21.2,1.7763
21.3,1.7763
21.4,1.7763
21.5,1.7763
21.6,1.7763
21.7,1.7763
21.8,1.7763
21.9,1.7763
22,1.7763
22.1,1.7763
22.2,1.7763
22.3,1.7763
22.4,1.7763
22.5,1.7763
22.6,1.7763
22.7,1.7763
22.8,1.7763
22.9,1.7763
23,1.7763
23.1,1.7763
23.2,1.7763
23.3,1.7763
23.4,1.7763
23.5,1.7763
23.6,1.7763
23.7,1.7763
23.8,1.7763
23.9,1.7763
24,1.7763
24.1,1.7763
24.2,1.7763
24.3,1.7763
24.4,1.7763
24.5,1.7763
24.6,1.7763
24.7,1.7763
24.8,1.7763
24.9,1.7763
25,1.7763
25.1,1.7763
25.2,1.7763
25.3,1.7763
25.4,1.7763
25.5,1.7763
25.6,1.7763
25.7,1.7763
25.8,1.7763
25.9,1.7763
26,1.7763
26.1,1.7763
26.2,1.7763
26.3,1.7763
26.4,1.7763
26.5,1.7763
26.6,1.7763
26.7,1.7763
26.8,1.7763
26.9,1.7763
27,1.7763
27.1,1.7763
27.2,1.7763
27.3,1.7763
27.4,1.7763
27.5,1.7763
27.6,1.7763
27.7,1.7763
27.8,1.7763
27.9,1.7763
28,1.7763
28.1,1.7763
28.2,1.7763
28.3,1.7763
28.4,1.7763
28.5,1.7763
28.6,1.7763
28.7,1.7763
28.8,1.7763
28.9,1.7763
29,1.7763
29.1,1.7763
29.2,1.7763
29.3,1.7763
29.4,1.7763
29.5,1.7763
29.6,1.7763
29.7,1.7763
29.8,1.7763
29.9,1.7763
30,0.3159
30.1,0.3159
30.2,0.3159
30.3,0.3159
30.4,0.3159
30.5,0.3159
30.6,0.3159
30.7,0.3159
30.8,0.3159
30.9,0.3159
31,0.3159
31.1,0.3159
31.2,0.3159
31.3,0.3159
31.4,0.3159
31.5,0.3159
31.6,0.3159
31.7,0.3159
31.8,0.3159
31.9,0.3159
32,0.3159
32.1,0.3159
32.2,0.3159
32.3,0.3159
32.4,0.3159
32.5,0.3159
32.6,0.3159
32.7,0.3159
32.8,0.3159
32.9,0.3159
33,0.3159
33.1,0.3159
33.2,0.3159
33.3,0.3159
33.4,0.3159
33.5,0.3159
33.6,0.3159
